uniqid,lat,long,Address,Street number,Street,City,State,Country,Zip,Address components,timestamp
482,40.4968,-79.845,"70 Allegheny River Blvd, Verona, PA 15147, USA",70,Allegheny River Boulevard,Verona,Pennsylvania,United States,15147,"70, Allegheny River Boulevard, Verona, Allegheny County, Pennsylvania, United States, 15147, 1046",11/3/17 11:06
483,35.565,-97.5152,"130 W Britton Rd, Oklahoma City, OK 73114, USA",130,West Britton Road,Oklahoma City,Oklahoma,United States,73114,"130, West Britton Road, Central Oklahoma City, Oklahoma City, Oklahoma County, Oklahoma, United States, 73114, 3620",11/3/17 10:18
484,42.5224,-87.9468,"10551 120th Ave, Pleasant Prairie, WI 53158, USA",10551,120th Avenue,Pleasant Prairie,Wisconsin,United States,53158,"10551, 120th Avenue, Pleasant Prairie, Kenosha County, Wisconsin, United States, 53158, 1602",11/3/17 10:17
485,30.241,-92.6628,"1740 Elton Rd, Jennings, LA 70546, USA",1740,Elton Road,Jennings,Louisiana,United States,70546,"1740, Elton Road, Jennings, 5, Jefferson Davis Parish, Louisiana, United States, 70546",11/3/17 10:17
486,29.5296,-98.5619,"9600 I-10, San Antonio, TX 78230, USA",9600,Interstate 10,San Antonio,Texas,United States,78230,"9600, Interstate 10, Northwest Side, San Antonio, Bexar County, Texas, United States, 78230",11/3/17 10:14
487,32.5171,-94.8515,,,,,,,,,11/3/17 10:13
488,33.1726,-117.253,"3517 Cannon Rd, Oceanside, CA 92056, USA",3517,Cannon Road,Oceanside,California,United States,92056,"3517, Cannon Road, Ocean Hills, Oceanside, San Diego County, California, United States, 92056",11/3/17 10:04
489,30.2375,-97.752,"303 E Oltorf St, Austin, TX 78704, USA",303,East Oltorf Street,Austin,Texas,United States,78704,"303, East Oltorf Street, St. Edwards, Austin, Travis County, Texas, United States, 78704, 5532",11/3/17 9:47
490,35.4618,-83.3153,"748 Casino Trail, Whittier, NC 28789, USA",748,Casino Trail,Whittier,North Carolina,United States,28789,"748, Casino Trail, Whittier, Qualla, Jackson County, North Carolina, United States, 28789",11/3/17 9:39
491,39.3769,-80.3104,"1139 E Pike St, Shinnston, WV 26431, USA",1139,East Pike Street,Shinnston,West Virginia,United States,26431,"1139, East Pike Street, Shinnston, Northern, Harrison County, West Virginia, United States, 26431",11/2/17 15:26
492,32.9523,-80.1656,"9880 Dorchester Rd, Summerville, SC 29485, USA",9880,Dorchester Road,Summerville,South Carolina,United States,29485,"9880, Dorchester Road, Summerville, Dorchester County, South Carolina, United States, 29485, 8545",11/3/17 9:19
493,29.0542,-81.303,"102 E International Speedway Blvd, DeLand, FL 32724, USA",102,East International Speedway Boulevard,DeLand,Florida,United States,32724,"102, East International Speedway Boulevard, DeLand, Volusia County, Florida, United States, 32724, 2374",11/3/17 9:11
494,39.8877,-86.1214,"7279 N Keystone Ave, Indianapolis, IN 46240, USA",7279,North Keystone Avenue,Indianapolis,Indiana,United States,46240,"7279, North Keystone Avenue, Washington Township, Indianapolis, Washington Township, Marion County, Indiana, United States, 46240, 3243",11/3/17 9:04
495,30.2927,-81.7822,"8029 Normandy Blvd, Jacksonville, FL 32221, USA",8029,Normandy Boulevard,Jacksonville,Florida,United States,32221,"8029, Normandy Boulevard, Northwest, Jacksonville, Duval County, Florida, United States, 32221, 6646",11/3/17 8:42
496,40.5353,-78.4021,"406 E 25th Ave, Altoona, PA 16601, USA",406,East 25th Avenue,Altoona,Pennsylvania,United States,16601,"406, East 25th Avenue, Altoona, Blair County, Pennsylvania, United States, 16601",11/3/17 8:26
497,34.1533,-118.258,"517 N Central Ave, Glendale, CA 91203, USA",517,North Central Avenue,Glendale,California,United States,91203,"517, North Central Avenue, Vineyard, Glendale, Los Angeles County, California, United States, 91203, 1901",11/2/17 23:13
498,34.0697,-117.139,"1221 Wabash Ave, Mentone, CA 92359, USA",1221,Wabash Avenue,Mentone,California,United States,92359,"1221, Wabash Avenue, North Redlands, Mentone, San Bernardino County, California, United States, 92359",11/2/17 23:02
499,42.1887,-87.8019,"1988 1st St, Highland Park, IL 60035, USA",1988,1st Street,Highland Park,Illinois,United States,60035,"1988, 1st Street, Highland Park, Moraine Township, Lake County, Illinois, United States, 60035, 3135",11/2/17 19:30
500,41.8914,-91.6741,"8905 Runway Ct SW, Cedar Rapids, IA 52404, USA",8905,Runway Court Southwest,Cedar Rapids,Iowa,United States,52404,"8905, Runway Court Southwest, Cedar Rapids, Linn County, Iowa, United States, 52404, 7052",11/2/17 19:50
